id,feature,title,keyword
0505c87c-511a-4ab9-8ed7-1b90fc780b3d,project,บ้านมินิโฮม,"ถนนเชียงใหม่-ดอยสะเก็ด,สี่แยกแม่วง,ซอยเทศบาลตำบลสันนาเม็ง,ตลาดแม่กวง,ตำบลสันนาเม็ง,อำเภอสันทราย,จังหวัดเชียงใหม่,บ้านเดี่ยว,บ้านเดี่ยวสองชั้น,บ้านแฝด,บ้านแฝดชั้นเดียว,ทาวน์โฮม,ทาวน์โฮมสองชั้น,อาคารพาณิชย์,อาคารพาณิชย์สองชั้น,อาคารพาณิชย์สามชั้น,บ้านสไตล์โมเดิร์น,บ้านมินิโฮม,Baan Mini Home"
05186b00-36e8-49b1-a797-bfd0f1aee074,project,ดิ-อิลิเมนท์-ขอนแก่น,"ถนนรอบบึงทุ่งสร้าง,ริมบึงทุ่งสร้าง,สวนสาธารณะบึงทุ่งสร้าง,โซนกสิกร-ทุ่งสร้าง,บ้านเดี่ยว,บ้านเดี่ยวสองชั้น,บ้านสไตล์มินิมอล,บ้านสไตล์โมเดิร์น,ดิ อิลิเมนท์ ขอนแก่น,The Elements"
0534dbc3-d743-4709-9a12-c889863aaac6,project,เดอะ-กรีน-ซิตี้-คอนโด-2,"ถนนเชียงใหม่-ดอยสะเก็ด,เชียงใหม่บิสสิเนสพาร์คซอย2,โรงเรียนวชิรวิทย์เชียงใหม่,ตำบลหนองป่าครั่ง,อำเภอเมืองเชียงใหม่,จังหวัดเชียงใหม่,คอนโดมิเนียม,เดอะ กรีน ซิตี้ คอนโด 2,The Green City Condominium 2"
059caac9-087d-4351-bca7-58b049e7b3db,project,เดอะเชนจ์-สมาร์ทแวลู-คอนโด-อาคาร-ไอ,"ถนนมิตรภาพ,ซอย30กันยา,ใกล้เซ็นทรัลฯนครราชสีมา,โซนในเมือง,คอนโดมิเนี่ยม,คอนโดพร้อมอยู่,เดอะเชนจ์ สมาร์ทแวลู คอนโด อาคาร ไอ,The Change Smart Value Condo I"
05a8e956-8372-455a-b534-0c729da76e1f,project,เคเค-ไอดีล-โฮม-ศรีจันทร์-พระลับ,"ถนนศรจันทร์,บ้านพระคือ,สำนักงานเทศบาลตำบลพระลับ,โซนบึงแก่นนคร,บ้านเดี่ยว,บ้านเดี่ยวชั้นเดียว,เคเค ไอดีล โฮม ศรีจันทร์-พระลับ,KK Ideal Home Srichan"
05c3ccc7-0b7f-4609-800c-3b7af267da10,project,บ้านศิวะกร-4,"ถนนโยธาธิการ,ซอยเทพทัต 15,ใกล้สี่แยกถนนเลี่ยงเมืองนครราชสีมา,โซนจอหอ,ย่านบ้านเกาะ-บ้านโพธิ์,บ้านเดี่ยว,บ้านเดี่ยวชั้นเดียว,บ้านสไตล์โมเดิร์น,บ้านศิวะกร 4,Ban Siwakorn 4"
05c3d05a-b585-4e9f-abac-3f521adc8168,project,เวลท์-วิลเลจ,
0650f57c-6e3c-4b90-b115-e3160006e7a8,project,เดอะ-วัน-เชียงใหม่,"ถนนเชียงใหม่-ดอยสะเก็ด,ซอยบ้านโจ้,เซ็นทรัลเฟสติวัล,ตำบลสันทรายน้อย,อำเภอสันทราย,จังหวัดเชียงใหม่,คอนโดมิเนียม,เดอะ วัน เชียงใหม่,The One Chiang Mai"
06b27053-a075-45e6-b204-4523f439d2f8,project,ที-สเปซ-โนนม่วง,"ถนนมิตรภาพ,ถนนบ้านโนนม่วง,บ้านโนนม่วง,ซอยวิกีรุ่งเรือง,โรงเรียนบ้านโนนม่วง,โซน ม.ขอนแก่น,บ้านเดี่ยว,บ้านแฝด,บ้านเดี่ยวสองชั้น,บ้านแฝดสองชั้น,Urbanism & Greenery,บ้านสไตล์โมเดิร์น,ที สเปซ โนนม่วง,T Space Nonmuang"
06c91df8-69d0-43ef-b520-94f32a9b7c30,project,เดอะ-เน็กซ์-เจ็ดยอด,"ถนนเจ็ดยอด,สำนักงานเทศบาลตำบลช้างเผือก,มทร.ล(เจ็ดยอด),ถนนซุปเปอร์ไฮเวย์,มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา,เจ็ดยอด,ตำบลช้างเผือก,อำเภอเมืองเชียงใหม่,จังหวัดเชียงใหม่,คอนโดมิเนียม,คอนโดมิเนียมสไตล์โมเดิร์น,เดอะ เน็กซ์ เจ็ดยอด,The Next Jedyod"
077d83d1-0fe3-4767-b603-1a1126cc3299,project,ดีญ่า-วาเล่ย์-(สันทราย),"ถนนเชียงใหม่,มหาวิทยาลัยแม่โจ้,ซอยทุ่งป่าเก็ด,มหาวิทยาลัยแม่โจ้,ตำบลหนองหาร,อำเภอสันทราย,จังหวัดเชียงใหม่,บ้านเดี่ยว,บ้านเดี่ยวชั้นเดียว,บ้านเดี่ยวสองชั้น,ดีญ่า วาเล่ย์ (สันทราย),Diya Valley Sansai"
